code,state,category,average_obesity,average_obesity,average_obesity,average_obesity,average_obesity,average_obesity,average_obesity,average_obesity,average_obesity,average_obesity,average_obesity
OR,Oregon,state,0.344532468,0.344532468,0.344532468,0.344532468,0.344532468,0.344532468,0.344532468,0.344532468,0.344532468,0.344532468,0.344532468
PA,Pennsylvania,state,0.283361111,0.283361111,0.283361111,0.283361111,0.283361111,0.283361111,0.283361111,0.283361111,0.283361111,0.283361111,0.283361111
RI,Rhode Island,state,0.314462687,0.314462687,0.314462687,0.314462687,0.314462687,0.314462687,0.314462687,0.314462687,0.314462687,0.314462687,0.314462687
SC,South Carolina,state,0.2538,0.2538,0.2538,0.2538,0.2538,0.2538,0.2538,0.2538,0.2538,0.2538,0.2538
SD,South Dakota,state,0.351391304,0.351391304,0.351391304,0.351391304,0.351391304,0.351391304,0.351391304,0.351391304,0.351391304,0.351391304,0.351391304
TN,Tennessee,state,0.317121212,0.317121212,0.317121212,0.317121212,0.317121212,0.317121212,0.317121212,0.317121212,0.317121212,0.317121212,0.317121212
TX,Texas,state,0.326947368,0.326947368,0.326947368,0.326947368,0.326947368,0.326947368,0.326947368,0.326947368,0.326947368,0.326947368,0.326947368
UT,Utah,state,0.287027559,0.287027559,0.287027559,0.287027559,0.287027559,0.287027559,0.287027559,0.287027559,0.287027559,0.287027559,0.287027559
VT,Vermont,state,0.259827586,0.259827586,0.259827586,0.259827586,0.259827586,0.259827586,0.259827586,0.259827586,0.259827586,0.259827586,0.259827586
VA,Virginia,state,0.256785714,0.256785714,0.256785714,0.256785714,0.256785714,0.256785714,0.256785714,0.256785714,0.256785714,0.256785714,0.256785714
WA,Washington,state,0.294082707,0.294082707,0.294082707,0.294082707,0.294082707,0.294082707,0.294082707,0.294082707,0.294082707,0.294082707,0.294082707
WV,West Virginia,state,0.291282051,0.291282051,0.291282051,0.291282051,0.291282051,0.291282051,0.291282051,0.291282051,0.291282051,0.291282051,0.291282051
WI,Wisconsin,state,0.3544,0.3544,0.3544,0.3544,0.3544,0.3544,0.3544,0.3544,0.3544,0.3544,0.3544
WY,Wyoming,state,0.314708333,0.314708333,0.314708333,0.314708333,0.314708333,0.314708333,0.314708333,0.314708333,0.314708333,0.314708333,0.314708333
